id,Stock,MAE,MSE,RMSE,MAPE (%),Accuracy (%),Last Actual Price,Predicted Future Price,Predicted Rise,Rise Probability (%),Recommendation,Analysis,created_at
28,인텔,1.572764108639732,3.6439224361860636,1.9089060836474023,7.259733157684933,92.74026684231507,20.639999389648438,26.210538864135742,true,26.98904863960942,STRONG BUY,인텔 is expected to rise by about 26.99%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
29,메타,15.857997742262485,356.07594468206247,18.869974686842124,18.929424266180963,81.07057573381904,625.6599731445312,740.6280517578125,true,18.375488851469633,STRONG BUY,메타 is expected to rise by about 18.38%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
30,브로드컴,4.182065055121,32.33203925420335,5.686126911545622,79.4573554317201,20.542644568279897,194.9600067138672,222.29248046875,true,14.019528525661821,STRONG BUY,브로드컴 is expected to rise by about 14.02%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
31,코스트코,13.352693120919923,331.188762205535,18.19859231384491,12.530578731612271,87.46942126838773,964.3099975585938,1089.2156982421875,true,12.952857587272312,STRONG BUY,코스트코 is expected to rise by about 12.95%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
32,엔비디아,2.369263825252357,10.140718929284114,3.1844495488677653,203.11697494274225,-103.11697494274225,112.69000244140625,126.81279754638672,true,12.532429495973869,STRONG BUY,엔비디아 is expected to rise by about 12.53%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
33,마이크론,2.9250290795624103,13.304046215591951,3.6474712083294025,16.28699622498403,83.71300377501598,92.95999908447266,103.59405517578125,true,11.43938919539515,STRONG BUY,마이크론 is expected to rise by about 11.44%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
34,스타벅스,2.7788018097724114,10.424769444698802,3.2287411547999323,13.868766128196622,86.13123387180337,106.4800033569336,117.50040435791016,true,10.349737653590104,STRONG BUY,스타벅스 is expected to rise by about 10.35%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
35,넷플릭스,21.429701069744993,700.5496412248795,26.467898315221014,85.44595159074919,14.554048409250811,891.1099853515625,975.4884033203125,true,9.468911734331071,STRONG BUY,넷플릭스 is expected to rise by about 9.47%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
36,테슬라,9.895737008567087,213.57696815449646,14.614272754896032,120.74297392069724,-20.74297392069724,262.6700134277344,282.7422180175781,true,7.641604889690236,STRONG BUY,테슬라 is expected to rise by about 7.64%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
37,어플라이드 머티리얼즈,3.216166422563593,22.83745846663917,4.778855351089754,10.183273901642426,89.81672609835758,155.67999267578125,166.54852294921875,true,6.981327585280835,STRONG BUY,어플라이드 머티리얼즈 is expected to rise by about 6.98%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
38,텍사스 인스트루먼트,3.8516917424117905,24.699462094281216,4.969855339371682,9.623765778094763,90.37623422190524,190.52000427246094,201.75128173828125,true,5.895064672452224,STRONG BUY,텍사스 인스트루먼트 is expected to rise by about 5.90%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
39,어도비,13.630594154824617,294.3740033021232,17.157330890966787,16.800495920948872,83.19950407905112,449.3999938964844,474.4520263671875,true,5.574551137282315,STRONG BUY,어도비 is expected to rise by about 5.57%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
40,아마존,4.064017052410561,27.845799030998542,5.276911883952445,24.093839919744635,75.90616008025536,199.25,210.07867431640625,true,5.434717348259096,STRONG BUY,아마존 is expected to rise by about 5.43%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
41,AMD,4.373394245717871,30.482034300982427,5.521053731035628,42.620190235764724,57.379809764235276,100.30999755859375,104.82123565673828,true,4.497296588517407,STRONG BUY,AMD is expected to rise by about 4.50%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
42,S&P 500 ETF,7.845246368311643,88.69327680436196,9.41771080488045,4.920677987200102,95.07932201279989,575.9199829101562,601.6416015625,true,4.466179228991319,STRONG BUY,S&P 500 ETF is expected to rise by about 4.47%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
43,암젠,6.806927982863127,66.29209182101147,8.141995567489058,8.974849627761762,91.02515037223824,324.8599853515625,336.607666015625,true,3.6162288966888902,STRONG BUY,암젠 is expected to rise by about 3.62%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
44,QQQ ETF,6.502574633847918,67.79932010529005,8.234034254561372,6.602605209994825,93.39739479000518,491.7900085449219,504.8338623046875,true,2.6523218310918883,STRONG BUY,QQQ ETF is expected to rise by about 2.65%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
45,시스코,0.8912589304666662,1.4229465920640139,1.1928732506280848,3.7244656363066007,96.2755343636934,63.939998626708984,65.57828521728516,true,2.562224938634621,STRONG BUY,시스코 is expected to rise by about 2.56%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
46,컴캐스트,1.1433735675116306,1.9299135771930875,1.3892132943479514,8.062896869849265,91.93710313015073,37.59000015258789,38.31711196899414,true,1.9343224619704926,BUY,컴캐스트 is expected to rise by about 1.93%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
47,마이크로소프트,7.764863058334196,98.18657101873023,9.908913715374165,15.537251307935247,84.46274869206475,393.30999755859375,396.6204833984375,true,0.8416988788469755,BUY,마이크로소프트 is expected to rise by about 0.84%. Consider buying or holding.,2025-03-08 07:12:21.798391+00
48,페이팔,4.071331659282244,34.70912536328408,5.891445099742853,6.426416330455778,93.57358366954422,70.4800033569336,70.46916198730469,false,-0.015382192270908444,SELL,페이팔 is expected to fall by about 0.02%. A cautious approach is recommended.,2025-03-08 07:12:21.798391+00
49,펩시코,3.0852576050751894,14.225304661701129,3.7716448217854674,4.545832503217318,95.45416749678269,154.44000244140625,153.4725341796875,false,-0.6264363159964352,SELL,펩시코 is expected to fall by about 0.63%. A cautious approach is recommended.,2025-03-08 07:12:21.798391+00
50,구글 C,2.578325861887309,12.884719050303042,3.5895290847551355,6.99410506155522,93.00589493844478,175.75,173.31890869140625,false,-1.383266747421764,SELL,구글 C is expected to fall by about 1.38%. A cautious approach is recommended.,2025-03-08 07:12:21.798391+00
51,애플,3.58935929448662,23.354015738238324,4.832599273500579,21.60037977949383,78.39962022050616,239.07000732421875,234.7106170654297,false,-1.8234785314901518,SELL,애플 is expected to fall by about 1.82%. A cautious approach is recommended.,2025-03-08 07:12:21.798391+00
52,구글 A,2.6360920497554603,13.621491041385692,3.690730421120688,8.11619389759085,91.88380610240915,173.86000061035156,168.39376831054688,false,-3.1440424943143768,SELL,구글 A is expected to fall by about 3.14%. A cautious approach is recommended.,2025-03-08 07:12:21.798391+00
53,허니웰 인터내셔널,3.8480285034133708,23.11156359525778,4.807448761584234,5.826229429591557,94.17377057040844,214.52000427246094,205.71356201171875,false,-4.105184637959061,SELL,허니웰 인터내셔널 is expected to fall by about 4.11%. A cautious approach is recommended.,2025-03-08 07:12:21.798391+00
54,몬델리즈,1.316812417549201,2.487626098501569,1.5772210049646083,5.350788380102997,94.649211619897,67.73999786376953,63.144107818603516,false,-6.784603174048975,SELL,몬델리즈 is expected to fall by about 6.78%. A cautious approach is recommended.,2025-03-08 07:12:21.798391+00